Name,Discipline,Address,Website,Lon,Lat,
Ace Riding Stables,English/Western,"9115 Natural Bridge Rd, St. Louis, MO 63134",http://www.acestable.com/,-90.3337897,38.719592,
Altamonte Show Stables,Hunter/Jumper,"5991 Wallach Rd, Pacific, MO 63069",http://www.altamonteshowstable.com/,-90.6948667,38.482111,
Another Brown Horse  Farm LLC,training,"208 Cedar Hill Dr, Labadie, MO 63055",https://www.anotherbrownhorsefarm.com/,-90.8669941,38.5259381,
Avalon Horse Farm,Eventing,"2275 New Farm Ln, Millstadt, IL 62260",https://www.avalonhorsefarm.com/,-90.158701,38.4485054,
Baskin Farm,Hunter/Jumper,"18124 Baskin Farm Dr, Glencoe, MO 63038",http://www.baskinfarm.net/,-90.6408924,38.6078969,
Bay Valley Stables,English/Western,"908 Saline Rd, Fenton, MO 63026",https://bayvalleystables.wordpress.com/,-90.4575047,38.4918572,
Beaufort Stables,Hunter/Jumper,"2475 Oberhelman Rd, Foristell, MO 63348",n/a,-90.9335727,38.710752,
Briarstone Riding Academy,Hunter/Jumper,"3924 Floraville Rd, Waterloo, IL 62298",https://www.facebook.com/briarstonefarm/,-90.0467327,38.364699,
Byrnes Mill Stables,English/Western,"3551 Byrnes Mill Rd, Byrnes Mill, MO 63025",https://www.facebook.com/pages/Byrnes-Mill-Stables/166700413343013,-90.5913157,38.4418549,
Capitol Farms,Hunter/Jumper,"826 Babler Park Dr, Chesterfield, MO 63005",https://www.facebook.com/CapitolFarmsInc/,-90.6773699,38.6215756,
Castlewood Stables,English/Western,"15811 Jedberg Ln, Ballwin, MO 63021",http://www.castlewoodstables.com/,-90.5773767,38.540541,
Circle S Stables,Western,"5501 Dober Ln, St. Louis, MO 63129",http://circlesstables.com/,-90.4672436,38.4956103,
Devinwood Farms,"Hunter/Jumper, Eventing","2000 Hoock Ln, East Carondelet, IL 62240",http://www.devinwoodfarms.com/,-90.1646717,38.500813,
Diamond Farms,English/Western,"121 Diamond Farms Lane, Villa Ridge, MO 63089",https://www.facebook.com/Diamond-Farms-Horse-Boarding-619941938023107/,-90.8342178,38.4734307,
Dryer Farms,Western,"5118 Calvey Creek Rd, Robertsville, MO 63072",https://dryerfarms.com/,-90.782286,38.3771105,
Dublin Farms,Hunter/Jumper,"8498 Byrnesville Rd, House Springs, MO 63051",https://www.dublinfarmslimited.com/,-90.6575287,38.390325,
Epique Equestrian,Dressage,"3955 Hoffman Rd, Wentzville, MO 63385",https://www.facebook.com/Epique-Equestrian-LLC-192807884102401/,-90.8348777,38.732294,
Equine-Assisted Therapy,therapeutic horsemanship,"3369 MO-109, Wildwood, MO 63038",https://eatherapy.org/,-90.6334598,38.5476292,
Four Winds Stable,Arabians,"6136 Goeddeltown Rd, Waterloo, IL 62298",n/a,-90.0876217,38.3223428,
Garcia Performance Horses,Western,"3697 St Louis Rock Rd, Villa Ridge, MO 63089",https://www.facebook.com/garciaperformancehorses/,-90.8946165,38.4851154,
Gold Farm at Greensfelder Park,Hunter/Jumper,"4250 Allenton Rd, Pacific, MO 63069",https://www.facebook.com/goldfarmstl/,-90.6856605,38.5339408,
Great Griffin Farm,Hunter/Jumper,"903 Schwede Rd, Wentzville, MO 63385",https://www.greatgriffinfarm.com/,-90.8394417,38.728192,
Happenstance Farms,Hunter/Jumper,"30296 N Stracks Church Rd, Wright City, MO 63390",http://www.ellenbaehrequestrian.com/Home.html,-91.074143,38.8473366,
Heart of the Horse Stables,Western,"635 Phelan Dr, Pacific, MO 63069",https://www.heartofthehorsestables.com/,-90.7501385,38.4396407,
Holistic Horsemanship,English/Western,"6000 Hidden Acres, House Springs, MO 63051",https://holistichorsemanshipllc.com/,-90.5411587,38.400712,
Irish Fox Stables,Hunter/Jumper,"10302 Hwy Dd, Wentzville, MO 63385",http://www.irishfoxstables.net/,-90.8012457,38.716937,
Iron Hill Ranch,Western,"3111 Iron Hill Rd, Union, MO 63084",https://www.facebook.com/IronHillRanchLLC/,-90.9337941,38.3857965,
J.M. Pierce Stables,Hunter/Jumper,"5700 Lake St. Louis Blvd, Lake St. Louis, MO 63367",http://piercestables.com/,-90.8016017,38.7723,
KEE West Farm,Hunter/Jumper,"2101 Ossenfort Rd, Wildwood, MO 63038",https://www.facebook.com/KEE-West-Farm-315329000411/,"-90.7184,569",38.6041338,
Kennedy Farms Equestrian Center,Hunter/Jumper,"1122 Deep Forest Dr, Chesterfield, MO 63005",https://www.kennedyfarms.com/,-90.6274547,38.655884,
Kraus Farms Equestrian Center,English/Western,"333 Hillsboro Rd, High Ridge, MO 63049",http://www.krausfarmsinc.com/,-90.5155988,38.5304831,
Liberty Prairie Farm,Western,"7003 IL-140, Edwardsville, IL 62025",http://www.libertyprairie.com/,-89.9377569,38.8956194,
Little N Ranch,English/Western,"3699 St Louis Rock Rd, Villa Ridge, MO 63089",n/a,-90.8952702,38.4834799,
Marquis Farm,"Hunter/Jumper, Dressage","2330 Ossenfort Rd, Glencoe, MO 63038",http://www.marquisfarmllc.com/,-90.7215807,38.5917732,
Mechlin Farm,Hunter/Jumper,"28699 Roelker Rd, Wright City, MO 63390",https://www.mechlinfarm.com/,-91.0383629,38.8222966,
Murphy Stables,Western,"2545 Little Antire Road, High Ridge, MO 63049",https://www.facebook.com/MurphyStablesSTL/,-90.5695567,38.4720492,
National Equestrian Center,show facility,"6880 Lake St Louis Blvd, Lake St Louis, MO 63367",http://www.thenationalequestriancenter.com/,-90.8012576,38.763816,
Noonan Horse Farm,"Hunter/Jumper, Eventing","2315 Baxter Rd, Chesterfield, MO 63017",http://www.horseridingstlouis.com/,-90.5488636,38.6226469,
Oakwood Farm,Thoroughbreds,"3433 Kaiser Hill Rd, New Haven, MO 63068",http://www.oakwoodfarmtb.com/,-91.2867588,38.5937644,
Painted Ridge Farms,Western,"6171 Reynolds Creek Rd, Hillsboro, MO 63050",https://paintedridgefarms.weebly.com/,-90.6274547,38.2345592,
Paradise Valley Ranch,Western,"947 Wild Horse Creek Rd, Wildwood, MO 63005",https://www.facebook.com/Paradise-Valley-Ranch-270836882953690/,-90.7148047,38.6271002,
Pegasus Equestrian Center,Hunter/Jumper,"527 Weidman Rd, Ballwin, MO 63011",http://pegasus-stables.com/,-90.4980782,38.6045876,
Prairie School Road Farm,Morgans,"1181 Luebbering Rd, Luebbering, MO 63061",http://psrmorgansandmore.com/wordpress/,-90.831127,38.2691357,
Providence Equestrian Center,English/Western,"490 Forby Rd, Eureka, MO 63025",https://www.facebook.com/Providence-Equestrian-Center-1073311142703819/,-90.6423273,38.5157695,
Quarter Line Dressage,Dressage,"17899 Wild Horse Creek Rd, Chesterfield, MO 63005",https://quarterlinedressagestl.com/,-90.6544985,38.6536028,
