time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T04:43:21.890Z,33.5008333,-116.798,2.18,0.47,ml,21,48,0.01167,0.13,ci,ci38352344,2018-11-07T04:47:04.046Z,"9km NE of Aguanga, CA",earthquake,0.19,0.23,0.08,13,automatic,ci,ci
2018-11-07T04:42:51.800Z,33.4973333,-116.7931667,3.55,0.81,ml,34,35,0.01615,0.18,ci,ci38352336,2018-11-07T04:46:31.543Z,"9km NE of Aguanga, CA",earthquake,0.19,0.64,0.14,26,automatic,ci,ci
2018-11-07T04:41:26.540Z,33.1921667,-115.604,2.6,1.44,ml,21,64,0.01761,0.18,ci,ci38352328,2018-11-07T04:45:03.031Z,"10km SW of Niland, CA",earthquake,0.31,0.26,0.247,27,automatic,ci,ci
2018-11-07T04:37:33.766Z,64.8535,-149.0731,21.2,1.4,ml,,,,0.6,ak,ak20334087,2018-11-07T04:43:37.600Z,"30km N of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-07T04:29:14.880Z,31.9201667,-115.827,11.68,1.91,ml,12,306,0.7297,0.27,ci,ci38352320,2018-11-07T04:33:05.959Z,"71km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,3.27,31.61,0.21,12,automatic,ci,ci
2018-11-07T04:25:21.630Z,33.9215,-116.8055,5.41,0.5,ml,10,142,0.1134,0.06,ci,ci38352312,2018-11-07T04:28:54.183Z,"2km WNW of Cabazon, CA",earthquake,0.4,2.31,0.096,9,automatic,ci,ci
2018-11-07T04:14:28.380Z,33.519,-116.8291667,13.53,0.27,ml,12,74,0.0896,0.29,ci,ci38352304,2018-11-07T04:18:13.050Z,"9km NNE of Aguanga, CA",earthquake,0.87,2.58,0.131,2,automatic,ci,ci
2018-11-07T04:13:06.130Z,33.4906667,-116.7796667,4.01,0.35,ml,16,45,0.08251,0.16,ci,ci38352296,2018-11-07T04:16:47.068Z,"10km NE of Aguanga, CA",earthquake,0.3,0.78,0.127,11,automatic,ci,ci
2018-11-07T03:59:27.060Z,38.8233337,-122.7965012,2.27,1.37,md,19,78,0.0106,0.04,nc,nc73107741,2018-11-07T04:14:02.856Z,"6km NW of The Geysers, CA",earthquake,0.28,0.43,0.1,5,automatic,nc,nc
2018-11-07T03:56:19.500Z,33.1923333,-115.6015,2.54,1.28,ml,14,86,0.01898,0.16,ci,ci38352288,2018-11-07T04:00:02.835Z,"9km SW of Niland, CA",earthquake,0.34,0.34,0.18,24,automatic,ci,ci
2018-11-07T03:39:12.310Z,33.1868333,-115.6051667,2.96,1.87,ml,30,43,0.01282,0.21,ci,ci38352272,2018-11-07T03:50:14.580Z,"10km SW of Niland, CA",earthquake,0.31,0.45,0.286,29,automatic,ci,ci
2018-11-07T03:36:58.557Z,62.215,-148.6736,20.3,2.1,ml,,,,0.65,ak,ak20334078,2018-11-07T03:41:38.790Z,"47km N of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-07T03:32:09.590Z,33.576,-116.6771667,7.04,-0.01,ml,12,145,0.04001,0.37,ci,ci38352256,2018-11-07T03:35:50.597Z,"2km N of Anza, CA",earthquake,1.21,2.02,0.264,3,automatic,ci,ci
2018-11-07T03:24:11.180Z,63.1815,-150.84,123.5,2.1,ml,,,,0.54,ak,ak20334070,2018-11-07T03:33:14.503Z,"97km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-07T03:14:18.136Z,36.143,-115.9314,15.5,1.1,ml,11,77.99,0.37,0.1493,nn,nn00664574,2018-11-07T03:41:00.531Z,"8km SSE of Pahrump, Nevada",earthquake,,5.7,0.2,6,reviewed,nn,nn
2018-11-07T03:05:26.560Z,33.1673333,-115.5531667,1.9,1.14,ml,13,136,0.05135,0.22,ci,ci38352248,2018-11-07T03:09:08.550Z,"6km NW of Calipatria, CA",earthquake,0.72,0.64,0.18,16,automatic,ci,ci
2018-11-07T02:59:33.010Z,-21.4323,-178.998,600.87,4.5,mb,,97,8.831,0.52,us,us2000i7t8,2018-11-07T03:27:16.040Z,"91km SSW of Ndoi Island, Fiji",earthquake,14.3,8.6,0.099,30,reviewed,us,us
2018-11-07T02:53:18.498Z,61.7548,-149.7221,39.4,1.2,ml,,,,0.49,ak,ak20334006,2018-11-07T03:00:29.321Z,"14km NNE of Houston, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-11-07T02:48:35.460Z,33.1935,-115.6061667,2.11,1.75,ml,28,47,0.01721,0.2,ci,ci38352240,2018-11-07T02:52:26.089Z,"10km WSW of Niland, CA",earthquake,0.32,0.36,0.247,29,automatic,ci,ci
2018-11-07T02:44:54.480Z,33.2463333,-116.6735,9.11,0.79,ml,33,65,0.05194,0.22,ci,ci38352232,2018-11-07T02:48:27.112Z,"5km SW of Warner Springs, CA",earthquake,0.36,0.68,0.132,20,automatic,ci,ci
2018-11-07T02:34:00.840Z,30.4641,87.6425,10,4.6,mb,,92,2.6,0.76,us,us2000i7t3,2018-11-07T03:17:49.040Z,"108km WSW of Jiajuedibu, China",earthquake,5.6,1.9,0.097,32,reviewed,us,us
2018-11-07T02:27:04.270Z,19.545166,-155.611496,7.43,1.76,md,34,90,0.03094,0.32,hv,hv70676966,2018-11-07T02:30:40.040Z,"28km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.65,0.95,0.34,13,automatic,hv,hv
