time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T05:23:58.840Z,38.8221664,-122.8085022,1.21,2.27,md,31,47,0.001736,0.04,nc,nc73107781,2018-11-07T05:25:38.060Z,"7km NW of The Geysers, CA",earthquake,0.16,0.27,0.17,9,automatic,nc,nc
2018-11-07T05:22:25.080Z,38.822834,-122.7939987,2.78,0.98,md,14,58,0.01257,0.02,nc,nc73107776,2018-11-07T05:24:03.045Z,"6km NNW of The Geysers, CA",earthquake,0.31,0.73,0.09,2,automatic,nc,nc
2018-11-07T05:18:57.900Z,34.0376667,-117.2558333,15.05,1.38,ml,49,46,0.07481,0.2,ci,ci38352392,2018-11-07T05:22:39.839Z,"1km SSE of Loma Linda, CA",earthquake,0.3,0.47,0.149,25,automatic,ci,ci
2018-11-07T05:08:38.450Z,33.3161667,-116.3396667,10.43,1.17,ml,53,62,0.08063,0.25,ci,ci38352376,2018-11-07T05:12:19.134Z,"8km NNE of Borrego Springs, CA",earthquake,0.33,0.71,0.181,27,automatic,ci,ci
2018-11-07T05:07:53.340Z,33.3195,-116.3305,9.18,0.98,ml,42,71,0.0888,0.26,ci,ci38352368,2018-11-07T05:11:33.185Z,"8km NNE of Borrego Springs, CA",earthquake,0.39,0.9,0.163,25,automatic,ci,ci
2018-11-07T05:07:10.430Z,33.3136667,-116.332,10.63,1.04,ml,43,70,0.08452,0.23,ci,ci38352360,2018-11-07T05:10:48.180Z,"8km NNE of Borrego Springs, CA",earthquake,0.39,0.59,0.196,26,automatic,ci,ci
2018-11-07T05:00:27.630Z,37.2879982,-121.6951675,7.49,1.29,md,11,133,0.03388,0.24,nc,nc73107761,2018-11-07T05:02:07.020Z,"13km E of Seven Trees, CA",earthquake,1.21,2.14,0.26,9,automatic,nc,nc
2018-11-07T05:00:07.650Z,37.3318329,-121.696167,7.42,1.22,md,10,102,0.04383,0.04,nc,nc73107756,2018-11-07T05:24:03.268Z,"12km ESE of Alum Rock, CA",earthquake,0.39,0.6,0.2,8,automatic,nc,nc
2018-11-07T04:59:22.640Z,37.3336678,-121.6959991,7.55,1.23,md,9,101,0.04332,0.03,nc,nc73107751,2018-11-07T05:14:03.202Z,"12km ESE of Alum Rock, CA",earthquake,0.42,0.67,0.1,7,automatic,nc,nc
2018-11-07T04:55:31.712Z,60.797,-150.5828,40.8,1.6,ml,,,,0.41,ak,ak20334091,2018-11-07T05:00:05.580Z,"30km NNE of Sterling, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-07T04:55:03.920Z,33.4785,-116.7923333,3.62,1.16,ml,52,38,0.09811,0.22,ci,ci38352352,2018-11-07T04:58:45.115Z,"8km ENE of Aguanga, CA",earthquake,0.22,0.72,0.124,26,automatic,ci,ci
2018-11-07T04:43:21.890Z,33.5008333,-116.798,2.18,0.47,ml,21,48,0.01167,0.13,ci,ci38352344,2018-11-07T04:47:04.046Z,"9km NE of Aguanga, CA",earthquake,0.19,0.23,0.08,13,automatic,ci,ci
2018-11-07T04:42:51.800Z,33.4973333,-116.7931667,3.55,0.81,ml,34,35,0.01615,0.18,ci,ci38352336,2018-11-07T04:46:31.543Z,"9km NE of Aguanga, CA",earthquake,0.19,0.64,0.14,26,automatic,ci,ci
2018-11-07T04:41:26.540Z,33.1921667,-115.604,2.6,1.44,ml,21,64,0.01761,0.18,ci,ci38352328,2018-11-07T04:45:03.031Z,"10km SW of Niland, CA",earthquake,0.31,0.26,0.247,27,automatic,ci,ci
2018-11-07T04:37:33.766Z,64.8535,-149.0731,21.2,1.4,ml,,,,0.6,ak,ak20334087,2018-11-07T04:43:37.600Z,"30km N of North Nenana, Alaska",earthquake,,0.3,,,automatic,ak,ak
